INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,Count,id,Point
 162 Avenue and Eversyde Boulevard SW ,Traffic incident.,12/5/2025 5:15,12/4/2025 22:17,SW,-114.110443,50.90691755,1,2025-12-05T05:15:4250.90691754820405-114.11044303997008,POINT (-114.11044303997008 50.90691754820405)
 Kincora Drive and Kincora Terrace NW ,Traffic incident.,12/5/2025 4:37,12/4/2025 22:17,NW,-114.130197,51.16016702,1,2025-12-05T04:37:4251.16016702142749-114.13019695299013,POINT (-114.13019695299013 51.16016702142749)
 Northbound 52 Street and Seton Drive SE ,Traffic incident. Blocking the right lane,12/5/2025 2:46,12/4/2025 21:40,SE,-113.9383277,50.8786804,1,2025-12-05T02:46:0850.87868039784477-113.93832765203469,POINT (-113.93832765203469 50.87868039784477)
 9 Avenue and Centre Street SW ,Traffic incident.,12/5/2025 1:58,12/4/2025 19:23,SW,-114.063084,51.04461598,1,2025-12-05T01:58:4851.04461598075459-114.06308399129279,POINT (-114.06308399129279 51.04461598075459)
 Rangeview Boulevard and Mercado Street SE ,Traffic incident.,12/5/2025 1:21,12/4/2025 19:49,SE,-113.9253435,50.88510902,1,2025-12-05T01:21:2750.885109017448414-113.92534346733919,POINT (-113.92534346733919 50.885109017448414)
 Deerfoot Trail and 212 Avenue SE ,Traffic incident.,12/5/2025 1:16,12/4/2025 19:49,SE,-113.9649234,50.86681374,1,2025-12-05T01:16:3250.866813741182824-113.96492340134333,POINT (-113.96492340134333 50.866813741182824)
 Northbound Stoney Trail after Mcknight Boulevard NE ,Traffic incident. Blocking the left lane,12/5/2025 0:08,12/4/2025 19:01,NE,-113.9207813,51.11396209,1,2025-12-05T00:08:0751.113962093402584-113.92078126950531,POINT (-113.92078126950531 51.113962093402584)
 Northbound Stoney Trail approaching 80 Avenue NE ,Traffic incident. Blocking multiple lanes,12/5/2025 0:04,12/4/2025 17:10,NE,-113.9215815,51.12520496,1,2025-12-05T00:04:1751.12520496120756-113.92158145001204,POINT (-113.92158145001204 51.12520496120756)
 Eastbound Symons Valley Py and Nolan Hill Drive  NW ,Traffic incident. Blocking the right lane,12/4/2025 23:50,12/4/2025 18:22,NW,-114.1605044,51.168483,1,2025-12-04T23:50:5251.168482999710896-114.160504442592,POINT (-114.160504442592 51.168482999710896)
 Northbound Shaganappi Trail approaching John Laurie Boulevard NW ,Single vehicle incident. Blocking the left lane,12/4/2025 23:46,12/4/2025 17:10,NW,-114.1405696,51.10642677,1,2025-12-04T23:46:0451.10642677060965-114.1405695663876,POINT (-114.1405695663876 51.10642677060965)
 Northbound Deerfoot Trail approaching Mcknight Boulevard NE ,Traffic incident. Blocking the right lane,12/4/2025 22:55,12/4/2025 17:10,NE,-114.047829,51.09614999,1,2025-12-04T22:55:2551.096149990835855-114.04782904315213,POINT (-114.04782904315213 51.096149990835855)
 Southbound Stoney Trail approaching 88 Street SE ,Traffic incident.,12/4/2025 22:12,12/4/2025 17:10,SE,-113.9134205,50.91778638,1,2025-12-04T22:12:2150.917786381233704-113.91342054421536,POINT (-113.91342054421536 50.917786381233704)
