"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 00:00","2025","11","01","00:00","","6.3","","-3.8","","48","","","","30","","4","","24.1","","87.88","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 01:00","2025","11","01","01:00","","5.6","","-3.9","","50","","","","","","0","","24.1","","87.91","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 02:00","2025","11","01","02:00","","6.7","","-3.4","","48","","","","18","","8","","24.1","","87.96","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 03:00","2025","11","01","03:00","","4.5","","-3.4","","56","","","","17","","9","","24.1","","87.98","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 04:00","2025","11","01","04:00","","9.8","","-2.0","","44","","","","23","","13","","24.1","","87.93","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 05:00","2025","11","01","05:00","","11.9","","-1.4","","40","","","","23","","15","","24.1","","87.90","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 06:00","2025","11","01","06:00","","11.3","","-0.8","","43","","","","23","","22","","24.1","","87.93","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 07:00","2025","11","01","07:00","","11.3","","0.0","","46","","","","23","","15","","24.1","","88.01","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 08:00","2025","11","01","08:00","","10.6","","0.7","","50","","","","28","","8","","32.2","","88.03","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 09:00","2025","11","01","09:00","","10.1","","0.9","","53","","","","14","","5","","32.2","","87.99","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 10:00","2025","11","01","10:00","","11.0","","1.0","","50","","","","19","","17","","24.1","","87.90","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 11:00","2025","11","01","11:00","","12.4","","0.8","","45","","","","19","","13","","32.2","","87.74","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 12:00","2025","11","01","12:00","","12.7","","0.9","","44","","","","19","","17","","32.2","","87.64","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 13:00","2025","11","01","13:00","","13.0","","1.8","","46","","","","19","","27","","32.2","","87.42","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 14:00","2025","11","01","14:00","","14.5","","1.5","","41","","","","19","","36","","32.2","","87.16","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 15:00","2025","11","01","15:00","","14.5","","2.0","","43","","","","21","","32","","32.2","","87.08","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 16:00","2025","11","01","16:00","","13.2","","2.3","","47","","","","23","","19","","32.2","","87.20","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 17:00","2025","11","01","17:00","","11.9","","3.1","","55","","","","18","","11","","24.1","","87.28","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 18:00","2025","11","01","18:00","","9.3","","5.2","","75","","","","27","","16","","24.1","","87.30","","","","","","Rain"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 19:00","2025","11","01","19:00","","8.7","","5.2","","78","","","","23","","10","","24.1","","87.32","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 20:00","2025","11","01","20:00","","7.1","","4.5","","83","","","","24","","9","","24.1","","87.37","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 21:00","2025","11","01","21:00","","6.6","","3.4","","80","","","","27","","21","","24.1","","87.44","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 22:00","2025","11","01","22:00","","5.2","","1.6","","78","","","","33","","21","","24.1","","87.62","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-01 23:00","2025","11","01","23:00","","3.0","","0.3","","82","","","","36","","15","","24.1","","87.80","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-02 00:00","2025","11","02","00:00","","2.1","","-0.6","","83","","","","34","","41","","16.1","","88.06","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-02 01:00","2025","11","02","01:00","","1.2","","-0.7","","88","","","","33","","29","","4.8","","88.25","","","","","","Drizzle,Snow"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-02 02:00","2025","11","02","02:00","","0.4","","-0.4","","94","","","","35","","21","","12.9","","88.39","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-02 03:00","2025","11","02","03:00","","0.0","","-1.2","","91","","","","32","","8","","24.1","","88.48","","","","-3","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-02 04:00","2025","11","02","04:00","","0.0","","-1.8","","88","","","","22","","12","","24.1","","88.49","","","","-4","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2025-11-02 05:00","2025","11","02","05:00","","-0.2","","-2.2","","87","","","","23","","17","","24.1","","88.54","","","","-5","","Clear"
